snapshot_pct,snapshot_step,direction,bin,n_questions_A,n_questions_B,n_exposed_A,n_exposed_B,n_unexposed_A,n_unexposed_B,adjusted_delta_R_exposed,raw_delta_R_exposed,adjusted_delta_R_unexposed,raw_delta_R_unexposed,adjusted_gap_R_unexposed_minus_exposed,raw_gap_R_unexposed_minus_exposed,adjusted_delta_T_exposed,raw_delta_T_exposed,adjusted_delta_T_unexposed,raw_delta_T_unexposed,adjusted_gap_T_unexposed_minus_exposed,raw_gap_T_unexposed_minus_exposed,adjusted_delta_C_exposed,raw_delta_C_exposed,adjusted_delta_C_unexposed,raw_delta_C_unexposed,adjusted_gap_C_unexposed_minus_exposed,raw_gap_C_unexposed_minus_exposed,adjusted_ratio_C_unexposed_over_exposed,adjusted_transfer_classification
25,934,symmetric,0,33,37,10,14,23,23,0.050978865422387165,0.04285714285714286,0.040754617308001145,0.044836956521739135,-0.01022424811438602,0.0019798136645962777,0.20377489086687642,0.18482142857142858,0.14305752157845786,0.15217391304347827,-0.06071736928841856,-0.03264751552795031,0.02885519516990748,0.02633928571428571,0.021027646291539435,0.02309782608695652,-0.007827548878368045,-0.0032414596273291907,0.7287299970671748,transfer_compatible
25,934,symmetric,"(0,.25]",89,86,24,23,65,63,0.1062400385847181,0.10762001811594203,0.156300913893542,0.15579212454212454,0.0500608753088239,0.04817210642618251,0.22724601681879952,0.22990262681159418,0.25563605549994034,0.25463217338217337,0.028390038681140817,0.024729546570579186,0.062478250635900165,0.06408514492753624,0.10020125531803961,0.09960317460317461,0.03772300468213945,0.03551802967563837,1.6037781835790343,transfer_compatible
25,934,symmetric,"(.25,.5]",57,59,20,17,37,42,0.1905482856669824,0.19659926470588235,0.16885153734370428,0.16576174388674386,-0.021696748323278114,-0.030837520819138486,0.2693036962713714,0.27417279411764706,0.2503797652268224,0.24800916988416988,-0.01892393104454898,-0.02616362423347718,0.08457597415895247,0.09181985294117648,0.04399213768362557,0.04011824324324324,-0.0405838364753269,-0.051701609697933235,0.520149346443785,mixed_or_uncertain
25,934,symmetric,"(.5,.75]",56,55,14,14,42,41,0.174198916808492,0.171875,0.1768284241537701,0.17768220092915216,0.002629507345278087,0.0058072009291521565,0.23350011817915606,0.23214285714285715,0.23582305484956345,0.23633493031358885,0.002322936670407394,0.004192073170731697,0.032540752096262,0.033482142857142856,0.014734399938862797,0.01446355981416957,-0.017806352157399202,-0.019018583042973287,0.45279838324804295,transfer_compatible
25,934,symmetric,"(.75,1)",20,19,7,7,13,12,0.06240406703752478,0.06696428571428571,0.1281742887444589,0.12479967948717949,0.06577022170693413,0.057835393772893776,0.11577164481036689,0.12053571428571427,0.1451914782117545,0.14182692307692307,0.029419833401387596,0.0212912087912088,-0.016932635153827574,-0.026785714285714284,0.030016106842584253,0.03485576923076923,0.04694874199641183,0.06164148351648352,,not_classifiable
45,1681,symmetric,0,33,37,15,22,18,15,0.06357321649706052,0.05378787878787879,0.0700395961324052,0.078125,0.006466379635344674,0.024337121212121213,0.3220596409300873,0.30710227272727275,0.256508944014841,0.26979166666666665,-0.06555069691524634,-0.0373106060606061,0.014473787681508915,0.01524621212121212,0.030838160142679906,0.029861111111111113,0.016364372461170992,0.014614898989898992,,not_classifiable
45,1681,symmetric,"(0,.25]",89,86,49,44,40,42,0.13750037084640965,0.13891465677179965,0.2144699431504692,0.2128348214285714,0.07696957230405954,0.07392016465677176,0.3478768796351272,0.3532003710575139,0.3758193699470926,0.3692708333333333,0.027942490311965384,0.01607046227581943,0.07421343386811201,0.07109519944341372,0.1279696790246022,0.1313988095238095,0.053756245156490204,0.06030361008039578,1.724346554991955,unexposed_higher
45,1681,symmetric,"(.25,.5]",57,59,32,30,25,29,0.2142395347486903,0.21555989583333335,0.1844872851892116,0.18146551724137933,-0.029752249559478722,-0.03409437859195402,0.2935267121159578,0.30052083333333335,0.29847313474930104,0.28892241379310346,0.004946422633343217,-0.011598419540229887,0.07574084838891826,0.07682291666666667,0.07467187776666333,0.07258620689655172,-0.0010689706222549306,-0.004236709770114949,0.9858864715012707,transfer_compatible
45,1681,symmetric,"(.5,.75]",56,55,24,25,32,30,0.19292633467757303,0.19494791666666667,0.23124760287193402,0.22981770833333331,0.03832126819436099,0.03486979166666665,0.245687624283424,0.24651041666666668,0.26024699553924485,0.25983072916666666,0.014559371255820852,0.013320312499999987,0.028721506953121284,0.02786458333333333,0.07024635639163757,0.07096354166666666,0.04152484943851628,0.043098958333333326,2.4457754429909397,unexposed_higher
45,1681,symmetric,"(.75,1)",20,19,12,11,8,8,0.15494366261120887,0.14441287878787878,0.10034374934941934,0.1171875,-0.054599913261789534,-0.027225378787878785,0.15989182813269995,0.1493844696969697,0.15539168064116685,0.171875,-0.004500147491533102,0.022490530303030304,0.03976255356930336,0.03290719696969697,-0.007096467252164783,0.00390625,-0.046859020821468145,-0.029000946969696968,-0.17847111453232337,mixed_or_uncertain
