snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,A-bin/B-base,"(0,.25]",27,878,exposed,0.0625,1834.3125,119.0,0.1875,0.3125,0.125
25,934,B-bin/A-base,"(0,.25]",27,878,exposed,0.0625,1859.6875,119.0,0.1875,0.5,0.1875
25,934,A-bin/B-base,"(.5,.75]",28,3730,unexposed,0.5625,1603.25,85.0,0.3125,0.3125,0.0
25,934,B-bin/A-base,"(.5,.75]",28,3730,unexposed,0.5625,1536.3125,85.0,0.3125,0.3125,0.0
25,934,A-bin/B-base,"(0,.25]",29,3359,unexposed,0.1875,1770.3125,87.0,-0.0625,0.125,-0.1875
25,934,B-bin/A-base,"(0,.25]",29,3359,unexposed,0.125,1885.6875,87.0,0.0,0.125,-0.0625
25,934,A-bin/B-base,"(0,.25]",30,1559,unexposed,0.0625,1941.375,87.0,0.125,0.25,0.0625
25,934,B-bin/A-base,"(0,.25]",30,1559,unexposed,0.0625,1867.8125,87.0,0.125,0.125,0.125
25,934,A-bin/B-base,"(.25,.5]",31,855,exposed,0.125,1845.8125,96.0,0.25,0.6875,0.1875
25,934,B-bin/A-base,"(0,.25]",31,855,exposed,0.375,1534.75,96.0,0.0,0.3125,-0.0625
25,934,A-bin/B-base,"(0,.25]",32,1729,unexposed,0.25,1870.875,147.0,0.3125,0.3125,0.1875
25,934,B-bin/A-base,"(0,.25]",32,1729,unexposed,0.0625,1888.4375,147.0,0.5,0.5,0.4375
25,934,A-bin/B-base,"(.5,.75]",33,1041,unexposed,0.375,1641.75,100.0,0.5,0.625,0.0
25,934,B-bin/A-base,"(.25,.5]",33,1041,unexposed,0.75,1288.125,100.0,0.125,0.1875,-0.0625
25,934,A-bin/B-base,"(.5,.75]",34,2508,unexposed,0.625,1442.875,75.0,0.25,0.3125,0.0
25,934,B-bin/A-base,"(.5,.75]",34,2508,unexposed,0.625,1314.5625,75.0,0.25,0.3125,0.0
25,934,A-bin/B-base,"(.5,.75]",35,1065,unexposed,0.5625,1403.75,81.0,0.1875,0.375,0.0625
25,934,B-bin/A-base,"(.5,.75]",35,1065,unexposed,0.625,1163.4375,81.0,0.125,0.0625,0.125
25,934,A-bin/B-base,"(.5,.75]",36,3571,unexposed,0.8125,1162.4375,79.0,0.0625,0.125,0.0
25,934,B-bin/A-base,"(.75,1)",36,3571,unexposed,0.75,1131.8125,79.0,0.125,0.125,0.0
25,934,A-bin/B-base,"(.25,.5]",37,2128,unexposed,0.6875,1380.4375,112.0,0.125,0.1875,0.0
25,934,B-bin/A-base,"(.5,.75]",37,2128,unexposed,0.5,1404.5,112.0,0.3125,0.25,0.25
25,934,A-bin/B-base,"(0,.25]",38,2222,unexposed,0.0,1821.75,103.0,0.0625,0.25,0.125
25,934,B-bin/A-base,0,38,2222,unexposed,0.125,1872.625,103.0,-0.0625,0.125,0.0
25,934,A-bin/B-base,"(.25,.5]",39,2399,unexposed,0.4375,1700.625,106.0,0.25,0.5,-0.0625
25,934,B-bin/A-base,"(.25,.5]",39,2399,unexposed,0.5,1625.3125,106.0,0.1875,0.4375,0.0
