snapshot_pct,snapshot_step,direction,bin,n_questions,n_exposed,n_unexposed,n_covariates_used,used_covariates,dropped_covariates,raw_delta_R_exposed,raw_delta_R_unexposed,raw_gap_R_unexposed_minus_exposed,adjusted_delta_R_unexposed,adjusted_delta_R_exposed,adjusted_gap_R_unexposed_minus_exposed,raw_delta_T_exposed,raw_delta_T_unexposed,raw_gap_T_unexposed_minus_exposed,adjusted_delta_T_unexposed,adjusted_delta_T_exposed,adjusted_gap_T_unexposed_minus_exposed,raw_delta_C_exposed,raw_delta_C_unexposed,raw_gap_C_unexposed_minus_exposed,adjusted_delta_C_unexposed,adjusted_delta_C_exposed,adjusted_gap_C_unexposed_minus_exposed,adjusted_ratio_C_unexposed_over_exposed,adjusted_transfer_classification
25,934,A-bin/B-base,0,33,10,23,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.08125,0.051630434782608696,-0.029619565217391307,0.04732384478316392,0.09115515699872298,-0.04383131221555907,0.16875,0.1766304347826087,0.007880434782608692,0.16452794164330412,0.19658573422040054,-0.032057792577096435,0.075,0.021739130434782608,-0.05326086956521739,0.02443291367736728,0.06880429854205533,-0.04437138486468805,0.3551073725783735,mixed_or_uncertain
25,934,A-bin/B-base,"(0,.25]",89,24,65,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.11197916666666667,0.15384615384615385,0.04186698717948718,0.1547333065646944,0.10957646138728591,0.045156845177408485,0.23697916666666666,0.23942307692307693,0.0024439102564102755,0.24547261175140414,0.22059500983994718,0.02487760191145697,0.052083333333333336,0.1,0.04791666666666667,0.10203439904620162,0.04657350258320391,0.05546089646299771,2.1908251127111686,unexposed_higher
25,934,A-bin/B-base,"(.25,.5]",57,20,37,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.209375,0.17229729729729729,-0.03707770270270272,0.17739771085768266,0.1999392349132875,-0.02254152405560484,0.309375,0.24155405405405406,-0.06782094594594595,0.24473705708812363,0.30348644438697187,-0.05874938729884824,0.084375,0.048986486486486486,-0.03538851351351352,0.05648556273260025,0.07050170894468966,-0.014016146212089409,0.8011942345527336,transfer_compatible
25,934,A-bin/B-base,"(.5,.75]",56,14,42,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.15625,0.1800595238095238,0.023809523809523808,0.1849995487530743,0.14142992516934833,0.043569623583726,0.22767857142857142,0.24553571428571427,0.01785714285714285,0.24950619331942522,0.2157671343274387,0.033739058991986544,0.04017857142857143,0.001488095238095238,-0.03869047619047619,0.005638146317912651,0.02772841818911917,-0.022090271871206518,0.2033345818523864,transfer_compatible
25,934,A-bin/B-base,"(.75,1)",20,7,13,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.07142857142857142,0.12980769230769232,0.058379120879120894,0.11266013160763824,0.10327404130010023,0.009386090307538009,0.13392857142857142,0.15865384615384615,0.02472527472527472,0.14460149557275778,0.16002579393630695,-0.015424298363549166,-0.03571428571428571,0.038461538461538464,0.07417582417582418,0.016670327931562152,0.004755105269955859,0.011915222661606294,,not_classifiable
25,934,B-bin/A-base,0,37,14,23,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.004464285714285714,0.03804347826086957,0.033579192546583855,0.03418538983283838,0.010802573846051353,0.023382815986787025,0.20089285714285715,0.12771739130434784,-0.07317546583850931,0.12158710151361161,0.2109640475133523,-0.08937694599974069,-0.022321428571428572,0.024456521739130436,0.04677795031055901,0.017622378905711594,-0.01109390820224037,0.028716287107951963,,not_classifiable
25,934,B-bin/A-base,"(0,.25]",86,23,63,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.10326086956521739,0.15773809523809523,0.05447722567287784,0.15786852122238965,0.10290361578215029,0.054964905440239346,0.22282608695652173,0.2698412698412698,0.0470151828847481,0.26579949924847657,0.2338970237976519,0.03190247545082467,0.07608695652173914,0.0992063492063492,0.023119392684610066,0.09836811158987759,0.07838299868859641,0.019985112901281174,1.2549674449261496,transfer_compatible
25,934,B-bin/A-base,"(.25,.5]",59,17,42,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.18382352941176472,0.15922619047619047,-0.024597338935574253,0.16030536382972593,0.1811573364206773,-0.02085197259095137,0.23897058823529413,0.2544642857142857,0.01549369747899157,0.25602247336552125,0.23512094815577098,0.020901525209750266,0.09926470588235294,0.03125,-0.06801470588235294,0.03149871263465089,0.09865023937321529,-0.0671515267385644,0.3192968697773192,mixed_or_uncertain
25,934,B-bin/A-base,"(.5,.75]",55,14,41,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.1875,0.17530487804878048,-0.012195121951219523,0.16865729955446587,0.20696790844763568,-0.038310608893169805,0.23660714285714285,0.22713414634146342,-0.009472996515679427,0.22213991637970168,0.25123310203087346,-0.02909318565117178,0.026785714285714284,0.027439024390243903,0.0006533101045296183,0.023830653559812943,0.037353086003404826,-0.013522432443591883,0.6379835271881076,transfer_compatible
25,934,B-bin/A-base,"(.75,1)",19,7,12,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.0625,0.11979166666666667,0.05729166666666667,0.1436884458812796,0.02153409277494933,0.12215435310633027,0.10714285714285714,0.125,0.017857142857142863,0.14578146085075122,0.07151749568442682,0.0742639651663244,-0.017857142857142856,0.03125,0.049107142857142856,0.043361885753606354,-0.038620375577611006,0.08198226133121736,,not_classifiable
45,1681,A-bin/B-base,0,33,15,18,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.07916666666666666,0.09375,0.014583333333333337,0.07725940849331997,0.0989553764746826,-0.021695967981362623,0.2875,0.2604166666666667,-0.027083333333333293,0.23764100689744946,0.3148307917230602,-0.07718978482561074,0.03333333333333333,0.034722222222222224,0.001388888888888891,0.035132327871334135,0.03284120655439894,0.0022911213169351935,1.0697636158141792,transfer_compatible
45,1681,A-bin/B-base,"(0,.25]",89,49,40,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.13010204081632654,0.2203125,0.09021045918367346,0.2224325003256676,0.12837142830557746,0.09406107202009016,0.3711734693877551,0.353125,-0.01804846938775506,0.36654406607013446,0.3602191297386657,0.0063249363314687515,0.061224489795918366,0.14375,0.08252551020408162,0.1415067976663141,0.06305567537443742,0.07845112229187669,2.2441564034643666,unexposed_higher
45,1681,A-bin/B-base,"(.25,.5]",57,32,25,3,baseline_p0;baseline_p0_completion_length;prompt_token_count,,0.251953125,0.1625,-0.089453125,0.17976577544192593,0.23846423793599508,-0.05869846249406915,0.328125,0.2675,-0.060624999999999984,0.29164283908619243,0.3092634069639119,-0.01762056787771946,0.1015625,0.0525,-0.0490625,0.0625754721441033,0.09369103738741921,-0.031115565243315907,0.6678917630653315,transfer_compatible
