snapshot_pct,bin,grpo_signal,maxrl_signal,maxrl_over_grpo_signal,maxrl_minus_grpo_signal,grpo_is_proxy,maxrl_is_proxy,maxrl_over_grpo_is_proxy,grpo_actual_is_ess_fraction,maxrl_actual_is_ess_fraction,grpo_delta_R,maxrl_delta_R,maxrl_minus_grpo_delta_R,grpo_delta_T,maxrl_delta_T,maxrl_minus_grpo_delta_T,grpo_delta_C,maxrl_delta_C,maxrl_minus_grpo_delta_C
5,"(.25,.5]",0.8862768184419122,1.1008028566855035,1.2420530851982918,0.2145260382435913,1290.0945514914097,1676.8045225812998,1.2997532007579098,0.9981535975473602,0.9980683604624775,0.015620353850728515,0.006235132322331251,-0.009385221528397264,0.01775758251561106,0.006820547130538209,-0.010937035385072853,0.008000669045495094,0.00497137972048766,-0.0030292893250074343
5,"(.5,.75]",0.6216993480533748,0.611038963743425,0.9828528301608666,-0.010660384309949755,923.5376592812747,897.0077336668327,0.971273585491805,0.9977362210971501,0.9978021010460127,0.025872564935064936,0.025801542207792207,-7.10227272727286e-05,0.03535917207792208,0.030306412337662337,-0.005052759740259743,-0.004484577922077922,-0.007903814935064936,-0.0034192370129870137
5,"(.75,1)",0.7695829181294692,0.5131579023834907,0.6668000163397085,-0.25642501574597854,1088.1739287697087,749.2960304164121,0.6885811271581993,0.9982848635439431,0.9981395258732847,0.0,-0.036513157894736845,-0.036513157894736845,0.013980263157894737,-0.02738486842105263,-0.04136513157894737,-0.01768092105263158,-0.02055921052631579,-0.0028782894736842125
5,"(0,.25]",0.384597005764023,1.3434805357334725,3.4932163162960013,0.9588835299694495,656.8525542411817,1908.5650395380417,2.9056217064465564,0.9978039483772381,0.9978416413087394,0.019156650117585577,0.026232198850274367,0.007075548732688789,0.026873203553697413,0.021414456493336814,-0.005458747060360598,0.010656192840344917,0.017282629997386986,0.006626437157042069
5,0,0.31859501218766484,0.7567567632005021,2.3752938189589203,0.4381617510128373,545.0314063037224,1125.484905527943,2.064990920726427,0.9980348395537926,0.9980252584762963,0.0033527846027846028,0.002073095823095823,-0.0012796887796887799,0.0017915642915642916,-0.018043611793611795,-0.019835176085176088,-0.012976044226044228,-0.00982800982800983,0.003148034398034398
10,"(.25,.5]",2.086588929340558,2.5628902831696663,1.2282679387068527,0.4763013538291081,3087.594998622545,3954.7145920492258,1.2808398102126493,0.9980561993935139,0.9980179912130024,0.028889756170086232,0.0517488105857865,0.02285905441570027,0.0628159381504609,0.06131987808504312,-0.0014960600654177758,-0.0018770443056794536,0.005556794528694618,0.0074338388343740715
10,"(.5,.75]",1.3752574586829582,1.2600649383306117,0.9162393051387899,-0.1151925203523465,2039.490482576242,1822.7637429854312,0.8937348610143814,0.9978949972561468,0.9979371136346158,0.03946834415584416,0.05984172077922078,0.02037337662337662,0.07320413961038962,0.06931818181818182,-0.003885957792207795,-0.014549512987012986,0.008005275974025974,0.02255478896103896
10,"(.75,1)",1.071842615894581,0.6631579027560197,0.6187082813483162,-0.40868471313856136,1508.4516354298585,890.0760430955032,0.5900593841988585,0.9983052583230247,0.9981821971399178,-0.004769736842105263,0.008141447368421052,0.012911184210526314,0.017351973684210528,0.026973684210526316,0.009621710526315788,-0.002878289473684211,-0.0030427631578947368,-0.00016447368421052596
10,"(0,.25]",0.9765759505475582,2.4017507212106572,2.459358864882977,1.425174770663099,1576.5615561509076,3596.2686190907402,2.281083542256886,0.9978758779531779,0.9978904118779895,0.04464985628429579,0.03287905016984583,-0.011770806114449958,0.07484240266527306,0.060152371309119414,-0.014690031356153647,0.04652795923700026,0.02028351188920826,-0.026244447347792
10,0,0.6719285624618905,1.108108120995599,1.649145732003984,0.4361795585337085,1056.9535324632404,1602.4841673990716,1.516134927582357,0.9979646976347867,0.9979172658004618,0.017890049140049137,0.007985257985257985,-0.009904791154791152,0.044456388206388205,0.025926494676494678,-0.018529893529893527,0.01335995085995086,-0.010544635544635545,-0.023904586404586405
15,"(.25,.5]",2.5703868033708366,3.3107344782023675,1.2880296747013447,0.740347674831531,3822.94970483459,5124.436253830141,1.340440405833658,0.9980456307937232,0.9980436172338951,0.0859816384180791,0.0834541332143919,-0.0025275052036871914,0.13611358905738924,0.12713722866488253,-0.00897636039250671,0.030729631281593818,0.015248661909009812,-0.015480969372584006
15,"(.5,.75]",2.081054859037523,1.6746753330596469,0.8047242607694521,-0.40637952597787597,3048.6711053099516,2434.423641417983,0.798519603238894,0.9979257883131323,0.9979432731432607,0.10088271103896104,0.11309862012987013,0.012215909090909083,0.13123985389610388,0.146875,0.01563514610389613,-0.003825081168831169,-0.001156655844155844,0.0026684253246753247
15,"(.75,1)",2.351993204319948,1.3289473831849663,0.5650302818664888,-1.0230458211349815,3343.870842706281,1841.690541203161,0.5507660516315377,0.9981500509577641,0.9980230774605403,0.04621710526315789,0.043421052631578944,-0.002796052631578949,0.044243421052631585,0.057236842105263155,0.01299342105263157,0.00625,-0.002960526315789474,-0.009210526315789475
15,"(0,.25]",1.5392384734058275,3.5519989588365313,2.307633950298246,2.0127604854307037,2363.5017986391695,5345.648328846164,2.2617492112441044,0.9978514943444723,0.9978769792430287,0.06999608048079436,0.06701561275150249,-0.0029804677292918774,0.1358031748105566,0.13390057486281684,-0.0019025999477397526,0.03780702900444212,0.05477119806637053,0.016964169061928408
