checkpoint,qid,sft_correct,rl_correct,n_rollouts,sft_rate,rl_rate,gain,bin
step 1000,14,3,8,8,0.375,1.0,0.625,3-5/8
step 1000,15,8,7,8,1.0,0.875,-0.125,6-8/8
step 1000,16,2,2,8,0.25,0.25,0.0,1-2/8
step 1000,17,6,7,8,0.75,0.875,0.125,6-8/8
step 1000,18,8,8,8,1.0,1.0,0.0,6-8/8
step 1000,19,8,8,8,1.0,1.0,0.0,6-8/8
step 1000,20,3,7,8,0.375,0.875,0.5,3-5/8
step 1000,21,7,8,8,0.875,1.0,0.125,6-8/8
step 1000,22,2,1,8,0.25,0.125,-0.125,1-2/8
step 1000,23,3,2,8,0.375,0.25,-0.125,3-5/8
step 1000,24,2,7,8,0.25,0.875,0.625,1-2/8
step 1000,25,5,6,8,0.625,0.75,0.125,3-5/8
step 1000,26,0,0,8,0.0,0.0,0.0,0/8
step 1000,27,3,4,8,0.375,0.5,0.125,3-5/8
step 1000,28,6,8,8,0.75,1.0,0.25,6-8/8
step 1000,29,1,4,8,0.125,0.5,0.375,1-2/8
final,0,7,6,8,0.875,0.75,-0.125,6-8/8
final,1,8,8,8,1.0,1.0,0.0,6-8/8
final,2,5,7,8,0.625,0.875,0.25,3-5/8
final,3,3,6,8,0.375,0.75,0.375,3-5/8
final,4,0,4,8,0.0,0.5,0.5,0/8
final,5,4,8,8,0.5,1.0,0.5,3-5/8
final,6,7,7,8,0.875,0.875,0.0,6-8/8
final,7,6,8,8,0.75,1.0,0.25,6-8/8
final,8,3,6,8,0.375,0.75,0.375,3-5/8
final,9,8,8,8,1.0,1.0,0.0,6-8/8
final,10,6,5,8,0.75,0.625,-0.125,6-8/8
final,11,5,5,8,0.625,0.625,0.0,3-5/8
final,12,1,1,8,0.125,0.125,0.0,1-2/8
final,13,3,2,8,0.375,0.25,-0.125,3-5/8
final,14,3,7,8,0.375,0.875,0.5,3-5/8
final,15,8,8,8,1.0,1.0,0.0,6-8/8
final,16,2,7,8,0.25,0.875,0.625,1-2/8
final,17,6,8,8,0.75,1.0,0.25,6-8/8
final,18,8,8,8,1.0,1.0,0.0,6-8/8
final,19,8,8,8,1.0,1.0,0.0,6-8/8
final,20,3,6,8,0.375,0.75,0.375,3-5/8
final,21,7,8,8,0.875,1.0,0.125,6-8/8
final,22,2,1,8,0.25,0.125,-0.125,1-2/8
final,23,3,3,8,0.375,0.375,0.0,3-5/8
final,24,2,5,8,0.25,0.625,0.375,1-2/8
final,25,5,8,8,0.625,1.0,0.375,3-5/8
final,26,0,0,8,0.0,0.0,0.0,0/8
final,27,3,5,8,0.375,0.625,0.25,3-5/8
final,28,6,8,8,0.75,1.0,0.25,6-8/8
final,29,1,4,8,0.125,0.5,0.375,1-2/8
