k,n_questions,n_rl_observed_success_questions,repeats,sft_covered_mean,sft_covered_p2.5,sft_covered_p97.5,rl_success_unresolved_mean,rl_success_unresolved_p2.5,rl_success_unresolved_p97.5
1,30,29,1000,17.503,13.0,21.024999999999977,11.502,7.975000000000001,16.0
2,30,29,1000,22.417,19.0,26.0,6.591,3.0,10.0
4,30,29,1000,25.815,23.0,28.0,3.203,1.0,6.0
8,30,29,1000,27.534,26.0,29.0,1.498,0.0,3.0
16,30,29,1000,28.238,27.0,29.0,0.824,0.0,2.0
32,30,29,1000,28.607,28.0,30.0,0.524,0.0,1.0
64,30,29,1000,29.033,28.0,30.0,0.237,0.0,1.0
128,30,29,1000,29.486,29.0,30.0,0.018,0.0,0.0
256,30,29,1000,30.0,30.0,30.0,0.0,0.0,0.0
