snapshot_pct,source,R,T,C
0,p0_K32_AplusB,0.34912109375,0.4561767578125,0.5045166015625
5,snapshot_C_bank,0.3623046875,0.466796875,0.5068359375
10,snapshot_C_bank,0.38671875,0.511474609375,0.5126953125
15,snapshot_C_bank,0.424072265625,0.576904296875,0.5283203125
20,snapshot_C_bank,0.443359375,0.6171875,0.53515625
25,snapshot_C_bank,0.464599609375,0.65673828125,0.5439453125
30,snapshot_C_bank,0.479736328125,0.682373046875,0.547119140625
35,snapshot_C_bank,0.486328125,0.689697265625,0.55224609375
40,snapshot_C_bank,0.491943359375,0.714111328125,0.556396484375
45,snapshot_C_bank,0.5029296875,0.71923828125,0.560546875
50,snapshot_C_bank,0.508544921875,0.735107421875,0.563232421875
55,snapshot_C_bank,0.510986328125,0.7275390625,0.56884765625
60,snapshot_C_bank,0.504150390625,0.7353515625,0.557861328125
65,snapshot_C_bank,0.52294921875,0.745361328125,0.572265625
70,snapshot_C_bank,0.50390625,0.740478515625,0.556640625
75,snapshot_C_bank,0.505859375,0.732177734375,0.552490234375
80,snapshot_C_bank,0.52392578125,0.754150390625,0.574462890625
85,snapshot_C_bank,0.503173828125,0.74365234375,0.556884765625
90,snapshot_C_bank,0.514892578125,0.735595703125,0.56640625
95,snapshot_C_bank,0.5009765625,0.73828125,0.556396484375
100,snapshot_C_bank,0.515380859375,0.747314453125,0.56396484375
