snapshot_pct,direction,bin,n_questions,n_questions_A,n_questions_B,delta_R,delta_T,delta_C
35,A-bin/B-base,"(0,.25]",89,,,0.13834269662921347,0.2563202247191011,0.08497191011235955
35,A-bin/B-base,"(.25,.5]",57,,,0.17434210526315788,0.26864035087719296,0.043859649122807015
35,A-bin/B-base,"(.5,.75]",56,,,0.18191964285714285,0.22544642857142858,0.021205357142857144
35,A-bin/B-base,"(.75,1)",20,,,0.1125,0.14375,0.015625
35,A-bin/B-base,1,1,,,0.0625,0.0625,0.0
35,B-bin/A-base,0,37,,,0.02702702702702703,0.20608108108108109,0.0033783783783783786
35,B-bin/A-base,"(0,.25]",86,,,0.13517441860465115,0.27325581395348836,0.08139534883720931
35,B-bin/A-base,"(.25,.5]",59,,,0.15572033898305085,0.23728813559322035,0.04449152542372881
35,B-bin/A-base,"(.5,.75]",55,,,0.1784090909090909,0.21818181818181817,0.03068181818181818
35,B-bin/A-base,"(.75,1)",19,,,0.11513157894736842,0.10526315789473684,0.029605263157894735
40,A-bin/B-base,0,33,,,0.07007575757575757,0.2159090909090909,0.045454545454545456
40,A-bin/B-base,"(0,.25]",89,,,0.13834269662921347,0.3125,0.07443820224719101
40,A-bin/B-base,"(.25,.5]",57,,,0.17982456140350878,0.2631578947368421,0.05921052631578947
40,A-bin/B-base,"(.5,.75]",56,,,0.19084821428571427,0.24107142857142858,0.030133928571428572
40,A-bin/B-base,"(.75,1)",20,,,0.10625,0.153125,0.0125
40,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
40,B-bin/A-base,0,37,,,0.04054054054054054,0.24324324324324326,0.02027027027027027
40,B-bin/A-base,"(0,.25]",86,,,0.13444767441860464,0.313953488372093,0.06758720930232558
40,B-bin/A-base,"(.25,.5]",59,,,0.17266949152542374,0.2542372881355932,0.07097457627118645
40,B-bin/A-base,"(.5,.75]",55,,,0.17045454545454544,0.21363636363636362,0.031818181818181815
40,B-bin/A-base,"(.75,1)",19,,,0.13815789473684212,0.13815789473684212,0.029605263157894735
45,A-bin/B-base,0,33,,,0.06060606060606061,0.24242424242424243,0.00946969696969697
45,A-bin/B-base,"(0,.25]",89,,,0.1720505617977528,0.3181179775280899,0.10884831460674158
45,A-bin/B-base,"(.25,.5]",57,,,0.18201754385964913,0.2675438596491228,0.043859649122807015
45,A-bin/B-base,"(.5,.75]",56,,,0.1875,0.234375,0.03125
45,A-bin/B-base,"(.75,1)",20,,,0.115625,0.15625,0.0125
45,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
45,B-bin/A-base,0,37,,,0.02702702702702703,0.25,-0.0033783783783783786
45,B-bin/A-base,"(0,.25]",86,,,0.16497093023255813,0.31613372093023256,0.09302325581395349
45,B-bin/A-base,"(.25,.5]",59,,,0.17372881355932204,0.2616525423728814,0.06038135593220339
45,B-bin/A-base,"(.5,.75]",55,,,0.19204545454545455,0.22613636363636364,0.04659090909090909
45,B-bin/A-base,"(.75,1)",19,,,0.10855263157894737,0.125,0.006578947368421052
50,A-bin/B-base,0,33,,,0.08143939393939394,0.25,0.04734848484848485
50,A-bin/B-base,"(0,.25]",89,,,0.1622191011235955,0.3441011235955056,0.09269662921348315
50,A-bin/B-base,"(.25,.5]",57,,,0.20065789473684212,0.28399122807017546,0.0581140350877193
50,A-bin/B-base,"(.5,.75]",56,,,0.20200892857142858,0.24888392857142858,0.03125
50,A-bin/B-base,"(.75,1)",20,,,0.10625,0.146875,0.015625
50,A-bin/B-base,1,1,,,0.125,0.125,0.0625
50,B-bin/A-base,0,37,,,0.04391891891891892,0.2719594594594595,0.030405405405405407
50,B-bin/A-base,"(0,.25]",86,,,0.16061046511627908,0.3372093023255814,0.08357558139534883
50,B-bin/A-base,"(.25,.5]",59,,,0.1906779661016949,0.2838983050847458,0.06567796610169492
50,B-bin/A-base,"(.5,.75]",55,,,0.19090909090909092,0.22840909090909092,0.038636363636363635
50,B-bin/A-base,"(.75,1)",19,,,0.12171052631578948,0.125,0.02631578947368421
55,A-bin/B-base,0,33,,,0.07575757575757576,0.2556818181818182,0.045454545454545456
55,A-bin/B-base,"(0,.25]",89,,,0.1699438202247191,0.324438202247191,0.09831460674157304
55,A-bin/B-base,"(.25,.5]",57,,,0.20285087719298245,0.2807017543859649,0.07017543859649122
55,A-bin/B-base,"(.5,.75]",56,,,0.1953125,0.24441964285714285,0.03236607142857143
55,A-bin/B-base,"(.75,1)",20,,,0.128125,0.153125,0.028125
55,A-bin/B-base,1,1,,,0.0625,0.0625,0.0625
55,B-bin/A-base,0,37,,,0.0472972972972973,0.28547297297297297,0.02364864864864865
55,B-bin/A-base,"(0,.25]",86,,,0.16787790697674418,0.31976744186046513,0.09520348837209303
55,B-bin/A-base,"(.25,.5]",59,,,0.20127118644067796,0.2722457627118644,0.09004237288135593
55,B-bin/A-base,"(.5,.75]",55,,,0.175,0.22613636363636364,0.020454545454545454
55,B-bin/A-base,"(.75,1)",19,,,0.12828947368421054,0.11842105263157894,0.039473684210526314
60,A-bin/B-base,0,33,,,0.07007575757575757,0.24053030303030304,0.030303030303030304
60,A-bin/B-base,"(0,.25]",89,,,0.15168539325842698,0.32865168539325845,0.08356741573033707
60,A-bin/B-base,"(.25,.5]",57,,,0.19846491228070176,0.30701754385964913,0.06140350877192982
60,A-bin/B-base,"(.5,.75]",56,,,0.19977678571428573,0.2533482142857143,0.024553571428571428
60,A-bin/B-base,"(.75,1)",20,,,0.128125,0.15625,0.025
60,A-bin/B-base,1,1,,,0.125,0.125,0.0625
60,B-bin/A-base,0,37,,,0.033783783783783786,0.2516891891891892,0.010135135135135136
60,B-bin/A-base,"(0,.25]",86,,,0.15770348837209303,0.3444767441860465,0.07994186046511628
60,B-bin/A-base,"(.25,.5]",59,,,0.17796610169491525,0.2764830508474576,0.059322033898305086
60,B-bin/A-base,"(.5,.75]",55,,,0.18977272727272726,0.23636363636363636,0.03636363636363636
60,B-bin/A-base,"(.75,1)",19,,,0.13815789473684212,0.13486842105263158,0.03618421052631579
65,A-bin/B-base,0,33,,,0.08333333333333333,0.24621212121212122,0.05113636363636364
65,A-bin/B-base,"(0,.25]",89,,,0.17626404494382023,0.34691011235955055,0.09691011235955056
65,A-bin/B-base,"(.25,.5]",57,,,0.22916666666666666,0.31469298245614036,0.08771929824561403
65,A-bin/B-base,"(.5,.75]",56,,,0.21763392857142858,0.26339285714285715,0.036830357142857144
65,A-bin/B-base,"(.75,1)",20,,,0.096875,0.140625,0.00625
65,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
65,B-bin/A-base,0,37,,,0.05574324324324324,0.27702702702702703,0.02702702702702703
65,B-bin/A-base,"(0,.25]",86,,,0.18459302325581395,0.35755813953488375,0.09811046511627906
65,B-bin/A-base,"(.25,.5]",59,,,0.211864406779661,0.298728813559322,0.08686440677966102
65,B-bin/A-base,"(.5,.75]",55,,,0.1965909090909091,0.23068181818181818,0.04090909090909091
65,B-bin/A-base,"(.75,1)",19,,,0.10197368421052631,0.10855263157894737,0.01644736842105263
70,A-bin/B-base,0,33,,,0.08901515151515152,0.2708333333333333,0.030303030303030304
70,A-bin/B-base,"(0,.25]",89,,,0.15589887640449437,0.33918539325842695,0.08567415730337079
70,A-bin/B-base,"(.25,.5]",57,,,0.20942982456140352,0.3059210526315789,0.06798245614035088
70,A-bin/B-base,"(.5,.75]",56,,,0.1796875,0.24776785714285715,0.017857142857142856
70,A-bin/B-base,"(.75,1)",20,,,0.096875,0.140625,0.0
70,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
70,B-bin/A-base,0,37,,,0.048986486486486486,0.2939189189189189,0.02195945945945946
70,B-bin/A-base,"(0,.25]",86,,,0.16787790697674418,0.34011627906976744,0.0872093023255814
70,B-bin/A-base,"(.25,.5]",59,,,0.17266949152542374,0.2902542372881356,0.057203389830508475
70,B-bin/A-base,"(.5,.75]",55,,,0.1784090909090909,0.23068181818181818,0.020454545454545454
70,B-bin/A-base,"(.75,1)",19,,,0.10855263157894737,0.11513157894736842,0.01644736842105263
75,A-bin/B-base,0,33,,,0.08333333333333333,0.2537878787878788,0.03409090909090909
75,A-bin/B-base,"(0,.25]",89,,,0.15519662921348315,0.33707865168539325,0.07443820224719101
75,A-bin/B-base,"(.25,.5]",57,,,0.18530701754385964,0.26535087719298245,0.05263157894736842
75,A-bin/B-base,"(.5,.75]",56,,,0.21540178571428573,0.25892857142857145,0.03125
75,A-bin/B-base,"(.75,1)",20,,,0.109375,0.159375,0.0
75,A-bin/B-base,1,1,,,0.0625,0.125,0.0
75,B-bin/A-base,0,37,,,0.048986486486486486,0.30405405405405406,0.010135135135135136
75,B-bin/A-base,"(0,.25]",86,,,0.15334302325581395,0.3175872093023256,0.07122093023255814
75,B-bin/A-base,"(.25,.5]",59,,,0.17690677966101695,0.274364406779661,0.057203389830508475
75,B-bin/A-base,"(.5,.75]",55,,,0.2,0.2318181818181818,0.03295454545454545
75,B-bin/A-base,"(.75,1)",19,,,0.125,0.13157894736842105,0.019736842105263157
80,A-bin/B-base,0,33,,,0.08712121212121213,0.3352272727272727,0.032196969696969696
80,A-bin/B-base,"(0,.25]",89,,,0.17485955056179775,0.33707865168539325,0.10112359550561797
80,A-bin/B-base,"(.25,.5]",57,,,0.2149122807017544,0.30701754385964913,0.08552631578947369
80,A-bin/B-base,"(.5,.75]",56,,,0.22544642857142858,0.27120535714285715,0.04352678571428571
80,A-bin/B-base,"(.75,1)",20,,,0.128125,0.15,0.034375
80,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
80,B-bin/A-base,0,37,,,0.06418918918918919,0.31925675675675674,0.03209459459459459
80,B-bin/A-base,"(0,.25]",86,,,0.17296511627906977,0.345203488372093,0.09156976744186046
80,B-bin/A-base,"(.25,.5]",59,,,0.19597457627118645,0.2976694915254237,0.07733050847457627
80,B-bin/A-base,"(.5,.75]",55,,,0.22386363636363638,0.25795454545454544,0.0625
80,B-bin/A-base,"(.75,1)",19,,,0.12171052631578948,0.125,0.03289473684210526
85,A-bin/B-base,0,33,,,0.056818181818181816,0.2689393939393939,0.015151515151515152
85,A-bin/B-base,"(0,.25]",89,,,0.15941011235955055,0.34480337078651685,0.08426966292134831
85,A-bin/B-base,"(.25,.5]",57,,,0.20394736842105263,0.3092105263157895,0.05921052631578947
85,A-bin/B-base,"(.5,.75]",56,,,0.1875,0.24553571428571427,0.03236607142857143
85,A-bin/B-base,"(.75,1)",20,,,0.11875,0.15625,0.01875
85,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
85,B-bin/A-base,0,37,,,0.02533783783783784,0.2922297297297297,-0.006756756756756757
85,B-bin/A-base,"(0,.25]",86,,,0.15479651162790697,0.3444767441860465,0.07630813953488372
85,B-bin/A-base,"(.25,.5]",59,,,0.1896186440677966,0.2786016949152542,0.06991525423728813
85,B-bin/A-base,"(.5,.75]",55,,,0.19545454545454546,0.25113636363636366,0.042045454545454546
85,B-bin/A-base,"(.75,1)",19,,,0.10197368421052631,0.11842105263157894,0.023026315789473683
90,A-bin/B-base,0,33,,,0.08143939393939394,0.26136363636363635,0.030303030303030304
90,A-bin/B-base,"(0,.25]",89,,,0.18679775280898878,0.34058988764044945,0.11095505617977527
90,A-bin/B-base,"(.25,.5]",57,,,0.19956140350877194,0.2741228070175439,0.07017543859649122
90,A-bin/B-base,"(.5,.75]",56,,,0.18526785714285715,0.25558035714285715,0.013392857142857142
90,A-bin/B-base,"(.75,1)",20,,,0.125,0.15625,0.01875
90,A-bin/B-base,1,1,,,0.1875,0.1875,0.0625
