snapshot_pct,snapshot_step,direction,bin,n_panel_questions,n_exposed_groups,n_unique_exposed_questions,exposure_fraction,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,cumulative_abs_advantage_per_panel_question,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction,exploratory_dapo_is_abs_mass_per_panel_question
5,187,A-bin,0,33,2,2,0.06060606060606061,0.5,0.0625,5.121975928544998,1832.8125,0.3104227835481817,0.9980680616408971,1.0001219820244538,0.0,569.6872298294592
5,187,A-bin,"(0,.25]",89,5,5,0.056179775280898875,0.8,0.075,6.916278597712517,1880.2625,0.3885549773995796,0.9978094868661204,1.0000197831182567,0.0,648.1877560451233
5,187,A-bin,"(.25,.5]",57,3,3,0.05263157894736842,1.0,0.3541666666666667,14.592611114184061,1619.7708333333333,0.7680321639044243,0.998182838269814,0.9998491164734084,0.0,1140.4601809445326
5,187,A-bin,"(.5,.75]",56,3,3,0.05357142857142857,1.0,0.6666666666666666,14.105250040690104,1318.0416666666667,0.7556383950369698,0.997768784172063,1.0001208554799417,0.0,1094.8371045708177
5,187,A-bin,"(.75,1)",20,1,1,0.05,1.0,0.625,14.997000455856323,1317.6875,0.7498500227928162,0.9982848635439431,1.0000102389318488,0.0,1060.272033160229
5,187,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
5,187,B-bin,0,37,3,3,0.08108108108108109,0.3333333333333333,0.0625,4.030129303534825,1792.7916666666667,0.32676724082714803,0.9980016174666881,0.9999559864075929,0.0,520.3755827779856
5,187,B-bin,"(0,.25]",86,4,4,0.046511627906976744,1.0,0.078125,8.183739233762026,1922.140625,0.38063903412846634,0.9977984098883559,1.0001131354840918,0.0,665.5173524372401
5,187,B-bin,"(.25,.5]",59,4,4,0.06779661016949153,1.0,0.390625,14.816691726446152,1536.609375,1.0045214729794,0.9981243568249064,0.99989733529776,0.0,1439.7289220382866
5,187,B-bin,"(.5,.75]",55,2,2,0.03636363636363636,1.0,0.75,13.413408279418945,1333.5,0.48776030106977986,0.9977036580222373,1.0001408735071569,0.0,752.2382139917318
5,187,B-bin,"(.75,1)",19,1,1,0.05263157894736842,1.0,0.625,14.997000455856323,1317.6875,0.7893158134661222,0.9982848635439431,1.0000102389318488,0.0,1116.0758243791886
10,374,A-bin,0,33,3,3,0.09090909090909091,0.6666666666666666,0.0625,5.913651183247566,1773.7916666666667,0.537604653022506,0.9979834496109922,1.0000278939201621,0.0,917.9337906479224
10,374,A-bin,"(0,.25]",89,10,10,0.11235955056179775,0.9,0.15,9.772293542325496,1809.30625,1.0980105103736513,0.9978649900071518,0.9999889606412814,0.0,1751.9248701431966
10,374,A-bin,"(.25,.5]",57,8,8,0.14035087719298245,1.0,0.4921875,14.081244878470898,1487.921875,1.976315070662582,0.998084038382554,0.9999877879143385,0.0,2903.24274176667
10,374,A-bin,"(.5,.75]",56,5,5,0.08928571428571429,1.0,0.6375,14.53603503704071,1372.6625,1.2978602711643492,0.9978636091652069,1.0001193786370757,0.0,1924.6290815254881
10,374,A-bin,"(.75,1)",20,2,2,0.1,1.0,0.71875,13.5436941832304,1148.625,1.35436941832304,0.9983256531021064,1.0000387500813042,0.0,1900.8274464805284
