snapshot_pct,snapshot_step,direction,bin,n_panel_questions_A,n_panel_questions_B,n_exposed_groups_A,n_exposed_groups_B,exposure_fraction,cumulative_abs_advantage_per_panel_question,exploratory_dapo_is_abs_mass_per_panel_question,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction,delta_R,delta_T,delta_C
5,187,symmetric,0,33,37,2,3,0.07084357084357085,0.31859501218766484,545.0314063037224,0.41666666666666663,0.0625,4.576052616039911,1812.8020833333335,0.9980348395537926,1.0000389842160233,0.0,0.0033527846027846028,0.0017915642915642916,-0.012976044226044228
5,187,symmetric,"(0,.25]",89,86,5,4,0.05134570159393781,0.384597005764023,656.8525542411817,0.9,0.0765625,7.550008915737271,1901.2015625,0.9978039483772381,1.0000664593011743,0.0,0.019156650117585577,0.026873203553697413,0.010656192840344917
5,187,symmetric,"(.25,.5]",57,59,3,4,0.06021409455842997,0.8862768184419122,1290.0945514914097,1.0,0.37239583333333337,14.704651420315106,1578.1901041666665,0.9981535975473602,0.9998732258855842,0.0,0.015620353850728515,0.01775758251561106,0.008000669045495094
5,187,symmetric,"(.5,.75]",56,55,3,2,0.04496753246753246,0.6216993480533748,923.5376592812747,1.0,0.7083333333333333,13.759329160054524,1325.7708333333335,0.9977362210971501,1.0001308644935492,0.0,0.025872564935064936,0.03535917207792208,-0.004484577922077922
5,187,symmetric,"(.75,1)",20,19,1,1,0.05131578947368421,0.7695829181294692,1088.1739287697087,1.0,0.625,14.997000455856323,1317.6875,0.9982848635439431,1.0000102389318488,0.0,0.0,0.013980263157894737,-0.01768092105263158
10,374,symmetric,0,33,37,3,5,0.11302211302211303,0.6719285624618905,1056.9535324632404,0.6333333333333333,0.06875,5.9399597376585005,1753.7333333333333,0.9979646976347867,1.0000002042618343,0.0,0.017890049140049137,0.044456388206388205,0.01335995085995086
10,374,symmetric,"(0,.25]",89,86,10,7,0.09687744969950353,0.9765759505475582,1576.5615561509076,0.95,0.15535714285714286,10.139158171308893,1823.479017857143,0.9978758779531779,0.999963745247334,0.0,0.04464985628429579,0.07484240266527306,0.04652795923700026
10,374,symmetric,"(.25,.5]",57,59,8,9,0.1464466250371692,2.086588929340558,3087.594998622545,1.0,0.4578993055555556,14.241450466629532,1519.3324652777778,0.9980561993935139,0.9999991437400155,0.0,0.028889756170086232,0.0628159381504609,-0.0018770443056794536
10,374,symmetric,"(.5,.75]",56,55,5,6,0.09918831168831169,1.3752574586829582,2039.490482576242,1.0,0.678125,13.926017980277539,1325.6697916666667,0.9978949972561468,1.00016270155353,0.0,0.03946834415584416,0.07320413961038962,-0.014549512987012986
10,374,symmetric,"(.75,1)",20,19,2,1,0.07631578947368421,1.071842615894581,1508.4516354298585,1.0,0.671875,14.270347319543362,1233.15625,0.9983052583230247,1.0000244945065764,0.0,-0.004769736842105263,0.017351973684210528,-0.002878289473684211
15,560,symmetric,0,33,37,5,7,0.17035217035217037,0.8868303308835486,1375.5693804059554,0.5857142857142856,0.05625,5.190105749453817,1777.4767857142856,0.9979420032133279,1.000055577066354,0.0,0.020526208026208026,0.09602784602784603,-0.00012796887796887816
15,560,symmetric,"(0,.25]",89,86,14,13,0.15423308074209563,1.5392384734058275,2363.5017986391695,0.9642857142857143,0.15109890109890112,9.990707873724974,1760.9350961538462,0.9978514943444723,0.9999480534748908,0.0,0.06999608048079436,0.1358031748105566,0.03780702900444212
15,560,symmetric,"(.25,.5]",57,59,11,10,0.18123699078203984,2.5703868033708366,3822.94970483459,1.0,0.42471590909090906,14.189788374711167,1554.3517045454546,0.9980456307937232,1.0000471123816852,0.0,0.0859816384180791,0.13611358905738924,0.030729631281593818
15,560,symmetric,"(.5,.75]",56,55,8,9,0.15324675324675324,2.081054859037523,3048.6711053099516,1.0,0.6957465277777778,13.636759181817371,1288.1202256944443,0.9979257883131323,1.0001930208226213,0.0,0.10088271103896104,0.13123985389610388,-0.003825081168831169
15,560,symmetric,"(.75,1)",20,19,4,3,0.17894736842105263,2.351993204319948,3343.870842706281,1.0,0.7135416666666667,13.296030349408586,1206.6510416666665,0.9981500509577641,1.000109969879842,0.0,0.04621710526315789,0.044243421052631585,0.00625
20,747,symmetric,0,33,37,7,10,0.24119574119574122,1.4233515767729936,2235.724809987701,0.6571428571428571,0.06696428571428571,5.95527518125517,1793.703125,0.9979481491158256,1.0000890291055122,0.0,0.051852989352989355,0.1819461506961507,0.01771089271089271
20,747,symmetric,"(0,.25]",89,86,20,19,0.22282466684086752,2.283469004029428,3565.271693242816,0.95,0.1639802631578947,10.254393490031362,1754.6401315789474,0.9979280946809366,0.9998964097622631,0.0,0.10458175463809773,0.2018511562581657,0.0470709759602822
20,747,symmetric,"(.25,.5]",57,59,13,12,0.21573000297353553,3.063035391769592,4455.394682731774,1.0,0.44471153846153844,14.212044208000105,1503.0707131410256,0.9980406066980579,1.000038599680616,0.0,0.12040031222123104,0.18076308355634851,0.03844223907225691
20,747,symmetric,"(.5,.75]",56,55,11,10,0.18912337662337664,2.487257873056481,3434.512926414996,1.0,0.7136363636363636,13.118584056740456,1197.5676136363636,0.997942071926353,1.0001724608403693,0.0,0.15595576298701297,0.19697646103896105,0.023762175324675325
20,747,symmetric,"(.75,1)",20,19,7,7,0.3592105263157894,4.750538078989638,6173.898461975694,1.0,0.7366071428571429,13.20810336406742,1072.15625,0.9981627541255862,1.0000726744901072,0.0,0.08182565789473684,0.10230263157894737,0.009621710526315788
25,934,symmetric,0,33,37,10,14,0.34070434070434075,1.7395641788791476,2679.3995066968528,0.5857142857142856,0.054910714285714285,5.118378044345549,1760.7205357142857,0.9979492699176284,1.0000617949177115,0.0,0.042971949221949225,0.16482391482391484,0.02231777231777232
25,934,symmetric,"(0,.25]",89,86,24,23,0.26855239090671545,2.8191594867946383,4345.576625645503,0.9583333333333333,0.18670742753623187,10.501067079333723,1704.2725317028985,0.9979321423209145,0.999911980119011,0.0,0.14286239221322183,0.24801574340214266,0.09005095374967337
25,934,symmetric,"(.25,.5]",57,59,20,17,0.31950639310139756,4.608205218529404,6383.428398833845,1.0,0.4973345588235294,14.438115995859398,1389.8969669117646,0.9980544766426729,1.0000437068226313,0.0,0.17581028843294677,0.2576754385964912,0.056125483199524234
25,934,symmetric,"(.5,.75]",56,55,14,14,0.25227272727272726,3.2606230909222518,4343.43791263606,1.0,0.7209821428571428,12.930815322590725,1141.5580357142858,0.9979651431367439,1.0001727595611456,0.0,0.17625811688311688,0.23530844155844155,0.019216720779220778
25,934,symmetric,"(.75,1)",20,19,7,7,0.3592105263157894,4.750538078989638,6173.898461975694,1.0,0.7366071428571429,13.20810336406742,1072.15625,0.9981627541255862,1.0000726744901072,0.0,0.1040296052631579,0.13421052631578947,0.012828947368421053
30,1121,symmetric,0,33,37,11,15,0.36936936936936937,1.9544659473008057,3015.1371631931984,0.6181818181818182,0.055492424242424246,5.304404675915386,1762.907196969697,0.9979944035069093,1.0000509212795041,0.0,0.04834664209664209,0.26750614250614246,0.005553849303849303
30,1121,symmetric,"(0,.25]",89,86,28,26,0.30846616148419126,3.3350929968499052,5115.021421119885,0.9642857142857143,0.19290865384615385,10.825491490968307,1703.4550995879122,0.9979577976140335,0.9999057208035127,0.0,0.136566664489156,0.28797850796968905,0.0672483342043376
30,1121,symmetric,"(.25,.5]",57,59,23,19,0.36277133511745463,5.150071545442831,7147.8374275927745,1.0,0.5124427917620137,14.223983282457773,1370.8749284897026,0.9980670032902018,1.00004698938091,0.0,0.17752936366339578,0.27503345227475473,0.058755203687184065
30,1121,symmetric,"(.5,.75]",56,55,16,19,0.3155844155844156,4.058201072147334,5358.12164271499,1.0,0.7217310855263157,12.924725855504605,1117.8425164473683,0.9979792695217804,1.0001727323928575,0.0,0.18243709415584414,0.23136160714285714,0.02258522727272727
30,1121,symmetric,"(.75,1)",20,19,9,8,0.43552631578947365,5.391351435960908,6769.426362753993,1.0,0.7664930555555556,12.40112267776082,1027.2252604166667,0.9981175052794323,1.0001039972385897,0.0,0.1069078947368421,0.11324013157894736,0.018832236842105263
35,1308,symmetric,0,33,37,12,17,0.4115479115479116,2.3494199546119603,3619.4574900965085,0.6568627450980392,0.06066176470588235,5.72228226828955,1746.0286458333335,0.9979885092738896,1.0000662498608273,0.0,0.04507063882063882,0.24421580671580673,0.01957923832923833
35,1308,symmetric,"(0,.25]",89,86,33,31,0.36562581656650117,4.052611670648347,6075.434734478549,0.9696969696969697,0.2118768328445748,11.095207794350031,1663.001588465298,0.9979604007748579,0.9999213453016906,0.0,0.15110971387509797,0.2985612098249281,0.08246913378625556
35,1308,symmetric,"(.25,.5]",57,59,26,21,0.40603627713351176,5.684226883435192,7797.488625696535,1.0,0.5168841575091575,14.006702376427231,1339.0906593406594,0.9980665189467943,1.000054416052202,0.0,0.1844335414808207,0.2733143770443057,0.054973238180196254
35,1308,symmetric,"(.5,.75]",56,55,18,20,0.3425324675324676,4.433805511122594,5798.766359994159,1.0,0.7217013888888889,12.986965981912281,1109.870138888889,0.9979830330601518,1.0001483113827518,0.0,0.1919744318181818,0.2538961038961039,0.02990056818181818
35,1308,symmetric,"(.75,1)",20,19,10,10,0.513157894736842,6.170723903237989,7430.887899191583,1.0,0.778125,12.00712030902505,973.171875,0.9981131119825624,1.0000398828949082,0.0,0.09646381578947369,0.14407894736842106,-0.004523026315789474
40,1494,symmetric,0,33,37,15,22,0.5245700245700246,3.122659350758347,4691.229136367292,0.6742424242424242,0.06392045454545454,5.941117511034915,1725.0689393939394,0.9979637232930763,1.0000752994082407,0.0,0.06562244062244063,0.28025184275184273,0.0238022113022113
40,1494,symmetric,"(0,.25]",89,86,42,37,0.4510713352495427,5.183713788065893,7591.672904865845,0.9761904761904762,0.23284668597168598,11.522102094328503,1618.3407537001285,0.9979552728591568,0.9999011198208838,4.5864616824058744e-07,0.16337862555526522,0.34192905670237783,0.07973363600731644
40,1494,symmetric,"(.25,.5]",57,59,27,25,0.44870651204281886,6.310732143139896,8468.361223345126,1.0,0.5218055555555556,14.068909055678933,1311.3532407407406,0.9980673005687395,1.0000597185733913,9.66108899795185e-07,0.2099223163841808,0.29929564377044304,0.0873847754980672
40,1494,symmetric,"(.5,.75]",56,55,20,21,0.3694805194805195,4.755624435672706,6083.4753260600555,1.0,0.7261160714285715,12.898980967452129,1087.4212797619048,0.9980042349485121,1.0001559940584115,0.0,0.20493100649350648,0.24879261363636362,0.03603896103896104
40,1494,symmetric,"(.75,1)",20,19,12,11,0.5894736842105264,6.358148945554307,7547.032096907213,0.9128787878787878,0.8027935606060606,10.799537634985015,910.999053030303,0.9981275832628007,1.000066684759919,0.0,0.10748355263157894,0.13766447368421053,0.004851973684210526
45,1681,symmetric,0,33,37,15,22,0.5245700245700246,3.122659350758347,4691.229136367292,0.6742424242424242,0.06392045454545454,5.941117511034915,1725.0689393939394,0.9979637232930763,1.0000752994082407,0.0,0.06467547092547093,0.2900798525798526,0.021268427518427516
45,1681,symmetric,"(0,.25]",89,86,49,44,0.5310948523647766,6.087467840511322,8892.88849435145,0.9580241187384044,0.23733186456400743,11.4815453749309,1611.3710865027829,0.9979772913048095,0.9999050044124473,3.9422196746722637e-07,0.17325908021949307,0.3614000849229161,0.09893928011497256
45,1681,symmetric,"(.25,.5]",57,59,32,30,0.5349390425215581,7.575947173278742,9817.027575199147,1.0,0.5324869791666667,14.166375145688653,1259.240625,0.9980720365734412,1.0000470812821762,8.35853431429092e-07,0.20116897115670532,0.29642432352066606,0.07603887897710378
45,1681,symmetric,"(.5,.75]",56,55,24,25,0.44155844155844154,5.6058301127866486,6890.456470809036,1.0,0.7416666666666667,12.715192836771408,1034.0858333333333,0.9980233338365552,1.0001240195238137,0.0,0.21455965909090907,0.2538352272727273,0.051897321428571425
45,1681,symmetric,"(.75,1)",20,19,12,11,0.5894736842105264,6.358148945554307,7547.032096907213,0.9128787878787878,0.8027935606060606,10.799537634985015,910.999053030303,0.9981275832628007,1.000066684759919,0.0,0.1328947368421053,0.15838815789473684,0.020723684210526318
50,1868,symmetric,0,33,37,17,23,0.5683865683865683,3.5551127461223793,5318.502379142563,0.70076726342711,0.07121163682864451,6.271514635923726,1700.7085997442455,0.9979577814893161,1.0000837558535784,0.0,0.06109234234234234,0.2480036855036855,0.03296478296478297
50,1868,symmetric,"(0,.25]",89,86,53,50,0.5884504834073687,6.880106033152346,9804.296643601658,0.9616981132075472,0.24599056603773586,11.698462755432669,1575.3848938679243,0.9979746798942846,0.9998928804064549,3.701907592982664e-07,0.18866360726417558,0.36082032270708125,0.10647210608831983
50,1868,symmetric,"(.25,.5]",57,59,32,31,0.5434136187927445,7.639481085928342,9887.344303727448,1.0,0.5394090221774194,14.057463804500237,1248.1975806451615,0.9980706494700586,1.0000404931328308,8.234844592012859e-07,0.20860280999107939,0.3061626523936961,0.07103033006244425
