snapshot_pct,snapshot_step,direction,bin,n_panel_questions_A,n_panel_questions_B,n_exposed_groups_A,n_exposed_groups_B,exposure_fraction,cumulative_abs_advantage_per_panel_question,exploratory_dapo_is_abs_mass_per_panel_question,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction
5,187,symmetric,0,33,37,2,3,0.07084357084357085,0.7567567632005021,1125.484905527943,0.3333333333333333,0.041666666666666664,9.333333412806192,1781.5052083333335,0.9980252584762963,1.0000755390776648,0.0
5,187,symmetric,"(0,.25]",89,86,5,4,0.05134570159393781,1.3434805357334725,1908.5650395380417,0.875,0.0671875,25.850000047683714,1873.725,0.9978416413087394,1.0000342618054179,0.0
5,187,symmetric,"(.25,.5]",57,59,3,4,0.06021409455842997,1.1008028566855035,1676.8045225812998,1.0,0.4296875,18.250000039736427,1582.0911458333335,0.9980683604624775,0.9998691615679213,0.0
5,187,symmetric,"(.5,.75]",56,55,3,2,0.04496753246753246,0.611038963743425,897.0077336668327,1.0,0.5833333333333333,13.333333405355614,1360.1197916666665,0.9978021010460127,0.9999169418344505,0.0
5,187,symmetric,"(.75,1)",20,19,1,1,0.05131578947368421,0.5131579023834907,749.2960304164121,1.0,0.6875,10.000000149011612,1334.0625,0.9981395258732847,1.0001016184244313,0.0
10,374,symmetric,0,33,37,3,5,0.11302211302211303,1.108108120995599,1602.4841673990716,0.3,0.04375,8.200000095367432,1774.8145833333333,0.9979172658004618,1.0001036227132616,0.0
10,374,symmetric,"(0,.25]",89,86,10,7,0.09687744969950353,2.4017507212106572,3596.2686190907402,0.9285714285714286,0.16339285714285712,24.485714304447175,1820.7691964285714,0.9978904118779895,1.000015213887492,0.0
10,374,symmetric,"(.25,.5]",57,59,8,9,0.1464466250371692,2.5628902831696663,3954.7145920492258,1.0,0.4552951388888889,17.430555602225162,1557.1762152777778,0.9980179912130024,0.9998183955351283,0.0
10,374,symmetric,"(.5,.75]",56,55,5,6,0.09918831168831169,1.2600649383306117,1822.7637429854312,1.0,0.5947916666666666,12.966666694978873,1328.171875,0.9979371136346158,0.9998856809923398,0.0
10,374,symmetric,"(.75,1)",20,19,2,1,0.07631578947368421,0.6631579027560197,890.0760430955032,1.0,0.71875,9.000000115484,1210.9375,0.9981821971399178,1.0000349682838852,0.0
