snapshot_pct,snapshot_step,direction,bin,n_exposed,n_unexposed,baseline_p0_mean_exposed,baseline_p0_mean_unexposed,baseline_p0_diff_exposed_minus_unexposed,baseline_p0_smd_exposed_minus_unexposed,p0_completion_length_mean_exposed,p0_completion_length_mean_unexposed,p0_completion_length_diff_exposed_minus_unexposed,p0_completion_length_smd_exposed_minus_unexposed,prompt_tokens_mean_exposed,prompt_tokens_mean_unexposed,prompt_tokens_diff_exposed_minus_unexposed,prompt_tokens_smd_exposed_minus_unexposed
25,934,A-bin/B-base,0,10,23,0.03125,0.035326086956521736,-0.004076086956521736,-0.08522753899274393,1838.2,1898.8641304347825,-60.664130434782464,-0.3925272329463807,118.9,102.08695652173913,16.81304347826088,0.933188455351415
25,934,A-bin/B-base,"(0,.25]",24,65,0.109375,0.15576923076923077,-0.04639423076923077,-0.3696980234233497,1859.5911458333333,1750.8057692307693,108.78537660256393,0.5859153363806071,102.41666666666667,96.43076923076923,5.985897435897442,0.2882276590760947
25,934,A-bin/B-base,"(.25,.5]",20,37,0.403125,0.4391891891891892,-0.03606418918918919,-0.19453125125373558,1557.59375,1548.7888513513512,8.80489864864876,0.04416766589592407,91.5,90.67567567567568,0.8243243243243228,0.04836490879283088
25,934,A-bin/B-base,"(.5,.75]",14,42,0.59375,0.59375,0.0,0.0,1345.388392857143,1378.327380952381,-32.938988095238074,-0.14770423632367072,78.42857142857143,86.0,-7.571428571428569,-0.4898797341509755
25,934,A-bin/B-base,"(.75,1)",7,13,0.8125,0.7788461538461539,0.033653846153846145,0.39629696195060843,1175.544642857143,1071.625,103.91964285714289,0.7664135953942722,74.14285714285714,81.6923076923077,-7.549450549450555,-0.49168054847505027
25,934,B-bin/A-base,0,14,23,0.06696428571428571,0.04076086956521739,0.02620341614906832,0.41255515747314436,1878.0,1831.2608695652175,46.73913043478251,0.26102875953853394,111.14285714285714,102.30434782608695,8.838509316770185,0.42017986003432556
25,934,B-bin/A-base,"(0,.25]",23,63,0.1956521739130435,0.16170634920634921,0.03394582470669427,0.2446862343485817,1767.5815217391305,1794.9930555555557,-27.411533816425163,-0.14750934073137603,104.91304347826087,96.17460317460318,8.738440303657697,0.4474957952799612
25,934,B-bin/A-base,"(.25,.5]",17,42,0.41911764705882354,0.43601190476190477,-0.016894257703081228,-0.087943027450948,1539.0,1546.7276785714287,-7.727678571428669,-0.035055479710430444,90.88235294117646,89.85714285714286,1.0252100840336027,0.060005062522719095
25,934,B-bin/A-base,"(.5,.75]",14,41,0.6473214285714286,0.6067073170731707,0.04061411149825789,0.27418515157147577,1271.9017857142858,1338.1646341463415,-66.26284843205576,-0.3088275430928629,73.92857142857143,87.5609756097561,-13.632404181184668,-0.8878545082422907
25,934,B-bin/A-base,"(.75,1)",7,12,0.7321428571428571,0.8020833333333334,-0.06994047619047628,-0.5550715513879731,1166.3482142857142,1076.9895833333333,89.35863095238096,0.44014771705990563,77.85714285714286,77.5,0.3571428571428612,0.02265749113295219
45,1681,A-bin/B-base,0,15,18,0.020833333333333332,0.04513888888888889,-0.024305555555555556,-0.5260084425205687,1874.5458333333333,1885.4270833333333,-10.881249999999909,-0.06926223539097867,115.53333333333333,100.22222222222223,15.311111111111103,0.8476331847679659
45,1681,A-bin/B-base,"(0,.25]",49,40,0.1326530612244898,0.15625,-0.023596938775510196,-0.18631158162210182,1820.6772959183672,1730.484375,90.19292091836724,0.4835022382841916,96.71428571428571,99.675,-2.960714285714289,-0.1417424813501503
45,1681,A-bin/B-base,"(.25,.5]",32,25,0.404296875,0.455,-0.050703125000000016,-0.2748934116137709,1562.37109375,1538.4475,23.92359375000001,0.12020033328860603,87.6875,95.16,-7.472499999999997,-0.4494625874754406
