direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
B-bin/A-base,"(.5,.75]",47,1093,0.5,1485.625,87
A-bin/B-base,"(.5,.75]",48,817,0.6875,1172.625,81
B-bin/A-base,"(.5,.75]",48,817,0.6875,1375.8125,81
A-bin/B-base,"(.5,.75]",49,2630,0.875,930.3125,88
B-bin/A-base,"(.75,1)",49,2630,0.6875,1306.75,88
A-bin/B-base,0,50,1370,0.0,1970.125,106
B-bin/A-base,0,50,1370,0.0,1680.9375,106
A-bin/B-base,"(.5,.75]",51,3474,0.5,1554.0,95
B-bin/A-base,"(.25,.5]",51,3474,0.625,1560.125,95
A-bin/B-base,"(.5,.75]",52,689,0.5,1294.3125,81
B-bin/A-base,"(.25,.5]",52,689,0.6875,1408.875,81
A-bin/B-base,"(.5,.75]",53,2253,0.75,1220.5,92
B-bin/A-base,"(.5,.75]",53,2253,0.75,1056.4375,92
A-bin/B-base,"(0,.25]",54,1788,0.1875,1640.125,100
B-bin/A-base,"(0,.25]",54,1788,0.1875,1457.625,100
A-bin/B-base,"(.5,.75]",55,1296,0.8125,1173.25,67
B-bin/A-base,"(.75,1)",55,1296,0.75,1243.0,67
A-bin/B-base,"(.5,.75]",56,757,0.6875,1353.0625,93
B-bin/A-base,"(.5,.75]",56,757,0.6875,1217.875,93
A-bin/B-base,"(0,.25]",57,764,0.3125,1567.875,92
B-bin/A-base,"(.25,.5]",57,764,0.1875,1696.5,92
A-bin/B-base,"(.25,.5]",58,1873,0.5625,1430.4375,107
B-bin/A-base,"(.5,.75]",58,1873,0.375,1602.875,107
A-bin/B-base,"(.25,.5]",59,809,0.3125,1553.375,121
B-bin/A-base,"(.25,.5]",59,809,0.3125,1537.375,121
A-bin/B-base,"(0,.25]",60,481,0.125,1797.375,89
B-bin/A-base,"(0,.25]",60,481,0.25,1812.75,89
A-bin/B-base,"(.25,.5]",61,576,0.125,1842.875,132
B-bin/A-base,"(0,.25]",61,576,0.5,1564.125,132
A-bin/B-base,"(.25,.5]",62,302,0.4375,1501.375,72
