direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
B-bin/A-base,"(0,.25]",205,437,0.125,1740.5,103
A-bin/B-base,"(0,.25]",206,3683,0.4375,1816.375,97
B-bin/A-base,"(.25,.5]",206,3683,0.25,1840.125,97
A-bin/B-base,"(.25,.5]",207,2090,0.5625,1437.0,58
B-bin/A-base,"(.5,.75]",207,2090,0.5,1390.875,58
A-bin/B-base,"(.5,.75]",208,1607,0.75,1210.6875,87
B-bin/A-base,"(.5,.75]",208,1607,0.6875,1224.125,87
A-bin/B-base,"(.5,.75]",209,2724,0.5,1451.375,66
B-bin/A-base,"(.25,.5]",209,2724,0.5625,1519.9375,66
A-bin/B-base,"(.25,.5]",210,1448,0.25,1849.1875,68
B-bin/A-base,"(0,.25]",210,1448,0.3125,1819.5625,68
A-bin/B-base,"(0,.25]",211,1498,0.125,1667.9375,116
B-bin/A-base,"(0,.25]",211,1498,0.0625,1580.9375,116
A-bin/B-base,0,212,1457,0.0,2048.0,131
B-bin/A-base,0,212,1457,0.0,2016.1875,131
A-bin/B-base,"(.5,.75]",213,1604,0.625,1350.625,92
B-bin/A-base,"(.5,.75]",213,1604,0.5625,1609.6875,92
A-bin/B-base,"(0,.25]",214,1143,0.0,1747.25,62
B-bin/A-base,0,214,1143,0.0625,1876.0,62
A-bin/B-base,"(.25,.5]",215,1018,0.75,1359.8125,63
B-bin/A-base,"(.5,.75]",215,1018,0.5,1537.625,63
A-bin/B-base,"(.5,.75]",216,2440,0.5,1525.4375,129
B-bin/A-base,"(.25,.5]",216,2440,0.75,1315.875,129
A-bin/B-base,"(0,.25]",217,1509,0.0625,2034.75,73
B-bin/A-base,"(0,.25]",217,1509,0.1875,1936.4375,73
A-bin/B-base,"(0,.25]",218,2873,0.125,1485.8125,71
B-bin/A-base,"(0,.25]",218,2873,0.125,1703.5,71
A-bin/B-base,"(0,.25]",219,1347,0.0,2011.25,107
B-bin/A-base,0,219,1347,0.0625,1810.375,107
A-bin/B-base,"(0,.25]",220,1322,0.125,1988.4375,83
B-bin/A-base,"(0,.25]",220,1322,0.0625,2003.1875,83
A-bin/B-base,"(.75,1)",221,1757,0.875,870.75,69
B-bin/A-base,"(.75,1)",221,1757,0.875,993.8125,69
A-bin/B-base,"(0,.25]",222,1488,0.4375,1378.5,87
B-bin/A-base,"(.25,.5]",222,1488,0.25,1590.5,87
A-bin/B-base,"(0,.25]",223,91,0.0625,1962.75,94
B-bin/A-base,"(0,.25]",223,91,0.125,1682.375,94
A-bin/B-base,0,224,1009,0.0,2048.0,79
B-bin/A-base,0,224,1009,0.0,1893.4375,79
A-bin/B-base,"(0,.25]",225,2450,0.0,1948.625,130
B-bin/A-base,0,225,2450,0.0625,1857.6875,130
A-bin/B-base,"(0,.25]",226,3522,0.4375,1657.375,77
B-bin/A-base,"(.25,.5]",226,3522,0.1875,1777.4375,77
A-bin/B-base,"(.5,.75]",227,2849,0.75,1430.4375,113
B-bin/A-base,"(.5,.75]",227,2849,0.625,1375.0625,113
A-bin/B-base,"(0,.25]",228,3601,0.0,1344.6875,81
B-bin/A-base,0,228,3601,0.125,1573.4375,81
A-bin/B-base,"(0,.25]",229,1813,0.0625,1289.375,87
B-bin/A-base,"(0,.25]",229,1813,0.1875,1276.1875,87
A-bin/B-base,"(0,.25]",230,1389,0.0625,1925.1875,102
B-bin/A-base,"(0,.25]",230,1389,0.125,1755.5,102
A-bin/B-base,"(0,.25]",231,2900,0.125,1946.1875,124
B-bin/A-base,"(0,.25]",231,2900,0.0625,1970.875,124
A-bin/B-base,0,232,847,0.0,1599.3125,128
B-bin/A-base,0,232,847,0.0,1655.25,128
A-bin/B-base,"(.25,.5]",233,1627,0.375,1238.625,88
B-bin/A-base,"(.25,.5]",233,1627,0.5,1151.6875,88
A-bin/B-base,0,234,1370,0.0,1945.125,98
B-bin/A-base,0,234,1370,0.0,1985.5,98
A-bin/B-base,"(0,.25]",235,1588,0.125,1694.5625,112
B-bin/A-base,"(0,.25]",235,1588,0.0625,2043.5625,112
A-bin/B-base,"(.75,1)",236,1467,0.75,1109.8125,84
B-bin/A-base,"(.5,.75]",236,1467,0.9375,934.5,84
A-bin/B-base,"(0,.25]",237,606,0.0,1923.875,150
B-bin/A-base,0,237,606,0.0625,2047.4375,150
A-bin/B-base,"(.25,.5]",238,799,0.4375,1424.0,102
B-bin/A-base,"(.25,.5]",238,799,0.375,1491.5625,102
A-bin/B-base,"(0,.25]",239,438,0.125,1933.0,106
B-bin/A-base,"(0,.25]",239,438,0.25,1749.6875,106
A-bin/B-base,"(.25,.5]",240,3233,0.625,1340.5625,78
B-bin/A-base,"(.5,.75]",240,3233,0.5,1492.0625,78
A-bin/B-base,"(.5,.75]",241,101,0.3125,1792.1875,90
B-bin/A-base,"(.25,.5]",241,101,0.625,1465.5,90
A-bin/B-base,"(.5,.75]",242,3039,0.375,1757.375,97
B-bin/A-base,"(.25,.5]",242,3039,0.75,1358.625,97
A-bin/B-base,"(0,.25]",243,1654,0.0625,1970.375,110
B-bin/A-base,"(0,.25]",243,1654,0.0625,1519.875,110
A-bin/B-base,"(.75,1)",244,445,0.75,1341.0625,70
B-bin/A-base,"(.5,.75]",244,445,0.875,960.3125,70
A-bin/B-base,"(.25,.5]",245,90,0.375,1599.1875,78
B-bin/A-base,"(.25,.5]",245,90,0.375,1647.4375,78
A-bin/B-base,"(0,.25]",246,1277,0.0625,2038.0625,82
B-bin/A-base,"(0,.25]",246,1277,0.0625,2002.25,82
A-bin/B-base,0,247,1273,0.0,1724.9375,130
B-bin/A-base,0,247,1273,0.0,1839.625,130
A-bin/B-base,0,248,3313,0.0,2008.75,88
B-bin/A-base,0,248,3313,0.0,1942.375,88
A-bin/B-base,"(.5,.75]",249,2230,0.75,1165.9375,114
B-bin/A-base,"(.5,.75]",249,2230,0.625,1329.0625,114
A-bin/B-base,0,250,1701,0.125,1707.8125,82
B-bin/A-base,"(0,.25]",250,1701,0.0,1759.1875,82
A-bin/B-base,"(0,.25]",251,1384,0.125,1651.9375,91
B-bin/A-base,"(0,.25]",251,1384,0.1875,1826.5625,91
A-bin/B-base,"(.5,.75]",252,2760,0.8125,1088.6875,80
B-bin/A-base,"(.75,1)",252,2760,0.5625,1490.5,80
A-bin/B-base,0,253,2753,0.125,1964.6875,111
B-bin/A-base,"(0,.25]",253,2753,0.0,2048.0,111
A-bin/B-base,"(.25,.5]",254,3239,0.25,1636.75,115
B-bin/A-base,"(0,.25]",254,3239,0.3125,1820.4375,115
A-bin/B-base,"(.5,.75]",255,484,0.6875,1392.125,72
B-bin/A-base,"(.5,.75]",255,484,0.625,1249.0,72
