cutoff,bin,valid_replicates,exposed_pp,exposed_lower_pp,exposed_upper_pp,unexposed_pp,unexposed_lower_pp,unexposed_upper_pp,gap_U_minus_E_pp,gap_U_minus_E_lower_pp,gap_U_minus_E_upper_pp
25,0,3000,2.8855195169907417,-2.472012976616295,8.740178428088507,2.102764629153937,-3.0248445578604795,6.96944956668016,-0.7827548878368047,-9.820916349515665,7.088810417752879
25,"(0,.25]",3000,6.247825063590012,0.5398067686851875,12.21695728475511,10.020125531803957,6.637288788116572,13.295814485433358,3.7723004682139445,-3.326232636373875,10.602317694745103
25,"(.25,.5]",3000,8.457597415895247,2.531470278554195,14.053703877808504,4.399213768362557,-0.8056151137580998,9.320428672106026,-4.058383647532689,-11.498487804658375,3.6423730588156156
25,"(.5,.75]",3000,3.2540752096262024,-0.4909978859607445,7.020851564385082,1.4734399938862834,-1.8793495943255991,4.560964174781135,-1.7806352157399192,-7.187755256127606,3.144445239963791
25,"(.75,1)",2997,-1.6932635153827515,-10.179247239954169,6.064182039009444,3.0016106842584303,-0.6196702756373024,7.029651560150596,4.694874199641181,-3.44896628102491,13.80639201582832
45,0,3000,1.4473787681508936,-3.6041519977477336,5.41097803451922,3.0838160142679927,-2.759099608498925,8.49464006415041,1.6364372461170993,-5.632522711319603,9.193809510372471
45,"(0,.25]",3000,7.421343386811211,3.3111060124981417,11.65031648091049,12.796967902460224,7.554562629083376,17.870526080303353,5.375624515649014,-1.4141432345621217,11.845510616939592
45,"(.25,.5]",3000,7.57408483889182,2.0671931407382664,13.302726500347514,7.467187776666326,1.8852277183476978,12.545179382441743,-0.10689706222549322,-8.180558347834172,6.968217816511333
45,"(.5,.75]",3000,2.872150695312135,-0.692298135408125,7.089259329345422,7.024635639163759,3.9006682519764366,10.312587793996169,4.152484943851624,-0.7623753988319065,8.943248762219643
45,"(.75,1)",2997,3.976255356930337,-0.6428234816306491,8.47180291158542,-0.7096467252164755,-5.818964894617069,4.388990474743679,-4.6859020821468125,-11.548622083157278,1.8932735751576588
65,0,3000,6.551863502545478,2.034738996782955,11.223224354371347,3.364098252079578,-2.861718708631504,8.679170322227984,-3.1877652504658993,-10.965311432543968,3.8198414555999554
65,"(0,.25]",3000,10.900175838219738,7.865579413125739,14.020358083741021,12.803911527871259,7.677636615008536,18.125170744971552,1.9037356896515212,-4.262216320136957,8.089265050639524
65,"(.25,.5]",3000,8.492019352211708,4.04610985788634,12.836220770497487,12.200747084081529,7.342360682135501,16.812676910489426,3.7087277318698195,-2.4511378740006315,10.048032059597938
65,"(.5,.75]",3000,3.450717996364831,-0.041502952643555885,7.2402346256078385,7.569490957769312,3.2416861330361963,11.555765057103315,4.1187729614044795,-1.6719136168199498,9.273635195020223
65,"(.75,1)",2968,1.7775633819601941,-2.26040264159452,5.51709308441867,2.1027986297904304,-3.6593055974836703,8.889076222871592,0.3252352478302365,-6.7228475167817585,9.016820164451527
